Date,AZN,^GSPC
2026-06-16,178.7100067138672,7511.35009765625
2026-06-17,177.88999938964844,7420.10009765625
2026-06-18,174.92999267578125,7500.580078125
2026-06-22,176.42999267578125,7472.7900390625
2026-06-23,181.02000427246094,7365.4599609375
2026-06-24,183.02000427246094,7358.22021484375
2026-06-25,185.67999267578125,7357.490234375
2026-06-26,188.41000366210938,7354.02001953125
2026-06-29,190.9499969482422,7440.43017578125
2026-06-30,189.6199951171875,7499.35986328125
2026-07-01,183.86000061035156,7483.22998046875
2026-07-02,195.14999389648438,7483.240234375
2026-07-06,190.16000366210938,7537.43017578125
2026-07-07,193.1199951171875,7503.85009765625
2026-07-08,189.27999877929688,7482.7099609375
2026-07-09,178.49000549316406,7543.64013671875
2026-07-10,171.61000061035156,7575.39013671875
2026-07-13,169.47000122070312,7515.33984375
2026-07-14,164.5,7543.58984375
2026-07-15,168.3699951171875,7572.39990234375
2026-07-16,169.2899932861328,7533.77001953125
2026-07-17,168.89999389648438,7457.68994140625
2026-07-20,164.52000427246094,7443.27978515625
2026-07-21,169.33999633789062,7509.2001953125
2026-07-22,169.72999572753906,7498.9599609375
2026-07-23,168.27000427246094,7408.2998046875
2026-07-24,169.25999450683594,7411.97998046875
2026-07-27,169.63999938964844,7413.18017578125
2026-07-28,172.47999572753906,7428.77978515625
2026-07-29,173.3000030517578,7316.14990234375
2026-07-30,171.33999633789062,7437.6298828125
